time_iso8601,stars_cumulative
2023-01-19 00:00:00+00:00,3
2023-02-12 00:00:00+00:00,4
2023-02-17 00:00:00+00:00,5
2023-03-07 00:00:00+00:00,6
2023-03-14 00:00:00+00:00,8
2023-03-15 00:00:00+00:00,12
2023-03-18 00:00:00+00:00,13
2023-03-26 00:00:00+00:00,14
2023-03-27 00:00:00+00:00,15
2023-03-28 00:00:00+00:00,16
2023-04-01 00:00:00+00:00,17
2023-04-02 00:00:00+00:00,18
2023-04-16 00:00:00+00:00,19
2023-04-17 00:00:00+00:00,20
2023-04-22 00:00:00+00:00,21
2023-04-26 00:00:00+00:00,23
2023-04-28 00:00:00+00:00,24
2023-05-06 00:00:00+00:00,25
2023-05-27 00:00:00+00:00,26
2023-06-08 00:00:00+00:00,27
2023-06-09 00:00:00+00:00,28
2023-06-27 00:00:00+00:00,29
2023-08-09 00:00:00+00:00,30
2023-08-27 00:00:00+00:00,31
2023-09-23 00:00:00+00:00,32
2023-10-30 00:00:00+00:00,33
